year,f024,f161,f162,h125,h126,h133,h134,age_m,age_w,edu_m,edu_w,gen_m,gen_w,NSIB018H,NSIB018DH,FB,girl
2010,,,,no,,not at all over the last 12 months,,51,50,1,3,1,1,2,0,0,1
2011,,,,,,,,52,51,1,3,1,1,2,1,1,0
2011,,,,,,,,52,51,1,3,1,1,2,1,0,0
2011,no,very good,good,,,,,53,52,1,3,1,1,2,0,0,1
2012,no,very good,very good,,,,,44,43,1,3,1,1,2,1,0,0
2012,no,very good,fairly good,no,,once or twice a month,yes,54,53,1,3,1,1,2,0,0,1
2013,,,,,,,,54,53,1,3,1,1,2,1,0,0
2013,,,,,,,,54,53,1,3,1,1,2,0,0,1
2014,,,,,,,,55,54,1,3,1,1,2,1,0,0
2008,no,very good,very good,yes,"no, I stopped",once or twice a month,no,51,48,3,1,1,1,1,1,0,0
2008,no,good,very good,no,,once or twice a week,yes,51,48,3,1,1,1,1,0,1,1
2009,no,very good,very good,no,,once or twice a month,no,52,49,3,1,1,1,1,1,0,0
2010,no,very good,very good,no,,once or twice a month,no,53,50,3,1,1,1,1,1,0,0
2015,,,,,,,,46,44,3,3,1,1,2,2,1,0
2016,,,,,,,,47,45,3,3,1,1,2,2,1,0
2012,,,,,,,,47,45,1,2,4,4,1,0,1,0
2013,,,,,,,,48,46,1,2,4,4,1,0,1,0
2014,,,,,,,,46,45,3,3,1,1,3,3,1,1
2015,,,,,,,,48,46,3,3,1,1,3,3,0,1
2015,no,very good,very good,yes,"no, I stopped",once or twice a year,no,48,46,3,3,1,1,3,3,1,1
2016,no,very good,good,no,,not at all over the last 12 months,,49,47,3,2,1,1,2,2,0,1
2008,,,,,,,,48,50,1,1,4,4,1,0,1,0
2009,,,,,,,,49,51,1,1,4,4,1,0,1,0
2009,,,,,,,,49,51,1,1,4,4,1,0,0,0
2013,,,,,,,,51,44,1,1,1,1,1,1,1,1
2014,no,very good,very good,,,,,53,46,1,1,1,1,1,1,1,1
2015,,,,,,,,54,47,1,1,1,1,1,1,0,0
2015,no,very good,very good,yes,"no, I stopped",once or twice a month,yes,54,47,1,1,1,1,1,1,1,1
2016,,,,yes,yes,once or twice a month,yes,55,48,1,1,1,1,1,1,0,0
2016,no,good,good,yes,yes,once or twice a week,yes,55,48,1,1,1,1,1,1,1,1
2008,no,good,good,no,,once or twice a month,no,51,51,3,2,1,3,2,0,1,1
2009,,,,,,,,51,51,3,2,1,3,2,1,0,0
2009,no,very good,very good,no,,once every two months,no,52,52,3,2,1,3,2,0,1,1
2010,no,very good,very good,no,,once or twice a week,yes,53,53,3,2,1,3,2,1,0,0
2010,no,very good,very good,no,,once or twice a month,no,53,53,3,2,1,3,2,0,1,1
2011,no,very good,very good,no,,once or twice a week,no,54,54,3,2,1,3,2,1,0,0
2012,,,,no,,once or twice a week,yes,54,54,3,2,1,3,2,1,0,0
2013,,,,no,,once or twice a month,yes,55,55,3,2,1,3,2,1,0,0
2014,no,good,good,,,,,57,57,3,2,1,3,2,1,0,0
2015,no,good,,,,,,58,58,3,2,1,3,2,1,0,0
2014,,,,,,,,47,46,3,3,1,1,2,2,1,0
2015,,,,,,,,49,47,3,3,1,1,2,2,1,0
2016,,,,,,,,50,48,3,3,4,4,2,1,0,0
2016,,,,,,,,50,48,3,3,1,1,2,2,1,0
2010,,,,,,,,47,46,2,2,1,1,1,1,1,0
2010,,,,,,,,41,38,1,2,1,1,1,1,1,0
2012,,,,,,,,40,47,2,3,1,1,2,1,1,1
2013,no,good,good,no,,once or twice a year,no,41,48,2,3,1,1,2,1,1,1
2014,no,very good,very good,,,,,42,49,2,3,1,1,2,1,1,1
2015,no,good,good,no,,once or twice a year,no,43,50,2,3,1,1,2,1,1,1
2015,,,,no,,once or twice a year,no,43,50,2,3,1,1,2,1,0,1
2016,no,very good,very good,,,,,44,51,2,3,1,1,2,1,0,1
2008,no,good,good,,,,,53,48,1,2,1,3,2,1,1,0
2009,,,,,,,,53,48,1,2,1,3,2,1,1,0
2010,,,,no,,not at all over the last 12 months,,54,49,1,2,1,3,2,1,0,0
2010,,,,no,,once or twice a month,yes,54,49,1,2,1,3,2,0,0,1
2010,no,very good,very good,,,,,55,50,1,2,1,3,2,1,1,0
2011,no,good,good,,,,,54,50,1,2,1,3,2,1,0,0
2011,no,good,good,,,,,56,51,1,2,1,3,2,0,0,1
2012,,,,,,,,56,51,1,2,1,3,2,1,0,0
2012,,,,yes,yes,once or twice a week,no,56,51,1,2,1,3,2,0,0,1
2008,,,,,,,,45,45,2,2,1,3,1,1,1,1
2009,no,very good,very good,no,,once or twice a year,no,47,46,2,2,1,3,1,1,1,1
2010,,,,no,,once or twice a month,no,47,47,2,2,1,3,1,1,1,1
2011,,,,,,,,48,48,2,2,1,3,1,1,0,1
2011,no,very good,very good,no,,once or twice a month,no,49,48,2,2,1,3,1,1,1,1
2012,,,,,,,,49,49,2,2,1,3,1,1,0,1
2013,yes,good,very good,no,,once or twice a week,yes,51,50,2,2,1,3,1,1,0,1
2014,yes,very good,very good,,,,,52,51,2,2,1,3,1,1,0,1
2011,,,,,,,,48,47,1,1,2,2,1,1,1,1
2012,no,very good,good,no,,once every two months,no,49,49,1,1,2,2,1,1,1,1
2013,no,very good,very good,no,,once every two months,no,50,50,1,1,2,2,1,1,1,1
2014,yes,very good,very good,,,,,51,51,1,1,2,2,1,1,1,1
2015,,,,,,,,43,41,3,2,2,1,2,0,1,0
2016,,,,,,,,44,42,3,2,2,1,2,0,0,0
2016,,,,,,,,44,42,3,2,2,1,2,0,1,0
2013,,,,,,,,41,43,2,3,1,1,2,2,1,0
2016,,,,,,,,45,43,2,3,1,2,1,1,1,0
2009,,,,yes,yes,once or twice a month,no,56,44,1,3,2,2,1,1,1,1
2010,no,very good,very good,no,,once or twice a month,yes,58,46,1,3,2,2,1,1,1,1
2011,yes,very good,good,no,,once or twice a year,no,59,47,2,3,2,2,1,1,1,1
2012,no,very good,good,no,,once or twice a year,no,60,48,2,3,2,2,1,1,1,1
2015,no,very good,good,,,,,63,51,2,3,2,2,1,1,0,1
2016,no,very good,very good,no,,not at all over the last 12 months,,64,52,2,3,2,2,1,1,0,1
2010,,,,,,,,52,49,3,3,4,4,2,1,0,0
2010,no,very good,very good,,,,,53,49,3,3,4,4,2,2,1,0
2011,,,,,,,,53,50,3,3,4,4,2,1,0,0
2011,,,,,,,,53,50,3,3,4,4,2,2,1,0
2014,,,,,,,,50,48,3,3,4,4,1,1,1,0
2015,,,,,,,,53,42,2,2,1,1,1,1,1,0
2016,,,,,,,,54,43,2,2,1,1,1,1,0,0
2016,,,,no,,once or twice a week,yes,54,43,2,2,1,1,1,1,1,0
2008,,,,,,,,45,42,1,1,1,1,0,0,1,1
2009,no,very good,very good,,,,,47,44,1,1,1,1,0,0,1,1
2010,,,,,,,,47,44,1,1,1,1,0,0,1,1
2011,no,very good,very good,yes,yes,once or twice a week,yes,49,46,1,1,1,1,0,0,1,1
2008,,,,,,,,54,43,3,1,4,4,1,1,1,0
2009,,,,,,,,55,44,3,1,4,4,1,1,0,0
2009,,,,,,,,55,44,3,1,4,4,1,1,1,0
2010,,,,,,,,56,45,3,1,4,4,1,1,0,0
2011,,,,,,,,57,46,3,1,4,4,1,1,0,0
2008,no,good,good,no,,not at all over the last 12 months,,45,42,3,2,1,1,2,1,1,0
2009,,,,no,,once or twice a year,no,45,43,3,2,1,1,2,1,0,0
2009,no,very good,very good,no,,not at all over the last 12 months,,46,43,3,2,1,1,2,1,1,0
2010,no,good,good,,,,,47,43,3,2,1,1,2,1,0,0
2010,no,good,good,no,,not at all over the last 12 months,,47,44,3,2,1,1,2,1,1,0
2011,,,,,,,,47,45,3,2,1,1,1,1,0,0
2012,,,,,,,,48,46,3,2,1,1,1,1,0,0
2012,,,,,,,,48,46,3,2,1,1,1,0,0,1
2013,no,very good,good,no,,once or twice a year,no,50,47,3,2,1,1,1,0,0,1
2014,no,very good,good,,,,,51,48,3,2,1,1,1,0,0,1
2015,yes,fairly good,not so good,,,,,52,49,3,2,1,1,1,0,0,1
2009,,,,,,,,42,42,2,1,4,4,2,1,1,0
2010,,,,,,,,43,43,2,1,4,4,2,1,1,0
2016,,,,,,,,48,40,1,2,1,1,1,0,1,0
2008,no,very good,very good,no,,once or twice a week,yes,51,46,2,1,1,1,1,0,1,0
2009,no,very good,very good,no,,not at all over the last 12 months,,52,47,2,1,1,1,1,0,1,0
2010,,,,,,,,52,47,2,1,1,1,1,0,0,0
2011,,,,,,,,53,48,2,1,1,1,1,0,0,0
2015,,,,,,,,47,44,2,2,4,4,1,0,1,0
2016,,,,,,,,48,45,2,2,4,4,1,0,1,0
2008,,,,,,,,50,42,3,3,2,2,1,1,1,0
2009,,,,no,,once or twice a month,no,51,43,3,3,2,2,1,1,1,0
2010,,,,,,,,52,44,3,3,2,2,1,1,1,0
2011,,,,,,,,53,45,3,3,2,2,1,1,1,0
2011,,,,,,,,48,47,2,2,1,1,2,1,1,0
2012,,,,,,,,49,48,2,2,1,1,2,1,1,0
2012,,,,,,,,49,48,2,2,1,1,2,1,0,0
2013,,,,,,,,50,49,2,2,1,1,2,1,1,0
2013,,,,yes,yes,once or twice a week,no,50,49,2,2,1,1,2,1,0,0
2014,,,,,,,,51,50,2,2,1,1,2,1,1,0
2014,no,very good,very good,,,,,51,21,2,2,1,1,2,1,0,0
2015,,,,,,,,53,51,2,2,1,1,2,0,0,1
2015,,,,,,,,53,51,2,2,1,1,2,1,0,0
2016,no,good,good,no,,once or twice a week,no,54,52,2,2,1,1,2,0,0,1
2008,no,very good,very good,no,,once or twice a week,yes,49,51,3,2,1,1,1,0,1,0
2008,no,very good,very good,no,,once or twice a month,yes,49,51,3,2,1,1,1,0,0,0
2009,no,good,good,no,,once or twice a week,no,50,52,3,2,1,1,1,0,0,0
2010,no,good,good,no,,once or twice a week,yes,51,53,3,2,1,1,1,0,0,0
2008,,,,,,,,49,47,1,1,4,4,2,1,0,0
2009,,,,,,,,50,48,1,1,4,4,2,1,0,0
2009,,,,,,,,50,48,1,1,4,4,2,1,0,0
2013,,,,,,,,43,45,1,3,1,1,1,1,1,0
2014,no,very good,very good,,,,,45,47,1,3,1,1,1,1,1,0
2015,no,very good,very good,no,,not at all over the last 12 months,,46,48,1,3,1,1,1,1,1,0
2016,,,,,,,,47,49,1,3,1,1,1,0,0,0
2016,no,very good,very good,no,,not at all over the last 12 months,,47,49,1,3,1,1,1,1,1,0
2008,,,,,,,,51,41,1,2,1,1,2,0,1,0
2008,,,,,,,,51,41,1,2,4,4,2,0,0,0
2009,,,,,,,,52,42,1,2,1,1,2,0,1,0
2009,no,good,good,,,,,52,42,1,2,4,4,2,0,0,0
2010,,,,,,,,53,43,1,2,1,1,2,0,0,0
2010,,,,,,,,53,43,1,2,4,4,2,0,0,0
2010,,,,,,,,53,43,1,2,4,4,2,0,0,0
2016,,,,,,,,51,47,2,2,1,1,0,0,1,0
2008,,,,,,,,43,41,1,1,1,1,5,2,0,1
2008,no,not so good,not so good,yes,"no, I stopped",once or twice a month,no,43,42,1,1,1,1,5,2,0,1
2008,yes,good,good,yes,"no, I stopped",once or twice a week,yes,43,42,1,1,1,1,5,3,1,0
2009,,,,no,,not at all over the last 12 months,,43,42,1,1,1,1,5,2,0,1
2009,no,fairly good,fairly good,yes,"no, I stopped",once or twice a week,yes,46,43,1,1,1,1,5,2,0,1
2010,no,good,good,no,,once or twice a month,yes,45,44,1,1,1,1,5,2,0,1
2011,no,good,good,no,,once or twice a week,yes,46,45,1,1,1,1,5,2,0,1
2012,,,,,,,,46,45,1,1,1,1,5,2,0,1
2013,no,very good,very good,yes,"no, I stopped",once or twice a week,no,46,45,1,1,1,1,4,1,0,1
2014,no,good,good,,,,,49,48,1,1,1,1,4,1,0,1
2015,,,,,,,,50,48,1,1,1,1,4,2,0,0
2015,,,,,,,,50,48,1,1,1,1,4,1,0,1
2016,,,,yes,yes,once or twice a week,yes,51,49,1,1,1,1,4,2,0,0
2008,,,,no,,once or twice a month,no,47,46,3,3,1,1,1,1,1,1
2009,,,,no,,once or twice a month,no,48,47,3,3,1,1,1,1,0,1
2009,no,very good,very good,no,,once or twice a month,no,49,48,3,3,1,1,1,1,1,1
2010,no,good,good,no,,once or twice a month,yes,50,49,3,3,1,1,0,0,0,1
2011,no,good,good,no,,once or twice a month,yes,51,50,3,3,1,1,1,1,0,1
2012,no,very good,very good,no,,once or twice a month,yes,52,51,3,3,1,1,1,1,0,1
2008,no,very good,good,no,,not at all over the last 12 months,,48,43,1,3,2,1,1,1,1,0
2009,no,very good,very good,no,,not at all over the last 12 months,,49,44,1,3,2,1,1,1,1,0
2013,,,,no,,once or twice a month,yes,52,47,1,3,2,1,1,0,0,1
2014,no,good,good,,,,,54,49,1,3,2,1,1,0,0,1
2012,,,,no,,once or twice a month,no,48,45,3,2,1,1,2,0,1,1
2013,yes,very good,good,,,,,49,46,3,2,1,1,2,0,1,1
2014,no,very good,good,,,,,50,48,3,2,1,1,2,0,1,1
2015,,,,,,,,51,49,3,2,1,1,2,1,0,0
2016,,,,,,,,52,50,3,2,1,1,2,1,0,0
2008,no,very good,good,yes,yes,once or twice a month,no,43,47,3,1,1,1,0,0,0,1
2009,no,very good,good,yes,yes,three of four days per week,yes,44,48,3,1,1,1,0,0,1,1
2011,,,,,,,,47,44,3,2,2,1,1,1,1,0
2012,,,,,,,,48,45,3,2,2,1,1,1,0,0
2008,,,,,,,,46,36,1,3,3,1,1,0,1,1
2009,no,very good,not so good,yes,"no, I stopped",not at all over the last 12 months,,39,37,1,3,3,1,1,0,1,1
2010,no,very good,fairly good,yes,"no, I stopped",not at all over the last 12 months,,40,38,1,3,3,1,1,0,1,1
2011,no,very good,not so good,yes,yes,three of four days per week,yes,41,39,1,3,3,1,1,0,1,1
2008,no,very good,very good,no,,three of four days per week,yes,48,48,2,1,1,1,1,1,1,0
2009,,,,yes,yes,once or twice a week,yes,48,48,2,1,1,1,1,0,0,1
2009,no,very good,very good,no,,once or twice a week,yes,49,49,2,1,1,1,1,1,1,0
2010,no,very good,very good,no,,once or twice a week,no,50,50,2,1,1,1,1,0,0,1
2011,no,very good,very good,yes,yes,once or twice a week,yes,51,51,2,1,1,1,1,0,0,1
2012,yes,very good,good,yes,yes,once every two months,yes,52,52,2,1,1,1,1,0,0,1
2011,,,,no,,once or twice a month,no,47,47,3,2,1,1,1,0,1,0
2012,no,very good,fairly good,no,,once or twice a month,no,49,48,3,2,1,1,1,0,1,0
2013,no,very good,good,no,,once or twice a month,no,50,49,3,2,1,1,1,0,1,0
2014,,,,,,,,50,50,3,2,1,1,1,0,0,0
2014,no,very good,good,,,,,51,50,3,2,1,1,1,0,1,0
2015,no,very good,good,no,,once every two months,yes,52,51,3,2,1,1,1,0,0,0
2016,yes,very good,very good,,,,,53,52,3,2,1,1,1,0,0,0
2008,no,very good,good,no,,once or twice a week,yes,48,48,3,3,1,1,1,0,0,1
2009,no,very good,very good,no,,three of four days per week,yes,49,48,3,3,1,1,1,0,0,1
2010,no,very good,very good,no,,three of four days per week,yes,50,49,3,3,1,1,1,0,0,1
2011,,,,,,,,40,40,1,1,1,1,1,0,1,0
2012,no,good,good,no,,once or twice a year,no,42,42,1,1,1,1,1,0,1,0
2013,no,very good,very good,no,,once or twice a week,yes,43,43,1,1,1,1,1,0,1,0
2014,no,very good,very good,,,,,44,44,1,1,1,1,1,0,1,0
2015,no,very good,very good,no,,once or twice a month,yes,45,45,1,1,1,1,1,0,0,0
2016,no,good,good,no,,once or twice a week,yes,46,46,1,1,1,1,1,0,0,0
2015,,,,,,,,53,55,2,2,1,1,0,0,1,0
2008,no,fairly good,good,no,,once or twice a week,yes,47,42,3,2,1,1,1,0,0,1
2008,yes,fairly good,good,no,,once or twice a week,yes,41,36,3,2,1,1,1,1,1,0
2009,no,not so good,good,,,,,48,43,3,2,1,1,1,0,0,1
2010,,,,,,,,49,44,3,2,1,1,1,0,0,1
2012,yes,not so good,good,yes,"no, I stopped",once or twice a month,yes,53,54,3,3,1,1,0,0,0,1
2013,no,not so good,good,yes,yes,once or twice a month,no,54,55,3,3,1,1,0,0,0,1
2014,no,not so good,good,,,,,55,56,3,3,1,1,0,0,0,1
2009,,,,,,,,49,47,3,3,4,4,1,0,1,0
2010,,,,,,,,50,48,3,3,4,4,1,0,1,0
2011,,,,,,,,51,49,3,3,4,4,1,1,0,0
2011,,,,,,,,51,49,3,3,4,4,1,0,1,0
2012,,,,,,,,52,50,3,3,4,4,1,1,0,0
2012,,,,,,,,52,50,3,3,4,4,1,0,1,0
2013,,,,,,,,53,51,3,3,4,4,1,1,0,0
2014,,,,,,,,54,52,3,3,4,4,1,1,0,0
2009,,,,,,,,44,37,3,2,2,2,2,1,1,1
2010,,,,no,,not at all over the last 12 months,,45,38,3,2,2,2,2,1,1,1
2011,no,very good,very good,,,,,47,40,3,2,2,2,2,1,1,1
2012,no,very good,very good,,,,,48,41,3,2,2,2,2,1,1,1
2014,,,,,,,,49,42,3,2,2,2,2,2,0,0
2015,,,,,,,,51,43,3,2,2,2,2,2,0,0
2016,,,,,,,,52,44,3,2,2,2,2,2,0,0
2010,,,,,,,,46,41,2,2,1,1,2,1,1,0
2011,yes,very good,very good,no,,once or twice a month,yes,47,42,2,2,1,1,2,1,1,0
2012,,,,no,,once or twice a week,yes,48,43,2,2,1,1,2,1,1,0
2013,,,,no,,once or twice a month,no,49,44,2,2,1,1,2,0,0,1
2013,,,,,,,,49,44,2,2,1,1,2,1,1,0
2014,yes,,,,,,,90,91,2,2,1,1,2,0,0,1
2015,,,,,,,,51,47,2,2,1,1,2,0,0,1
2015,,,,,,,,51,47,2,2,1,1,2,1,0,0
2016,,,,,,,,52,48,2,2,1,1,2,1,0,0
2008,,,,,,,,42,42,1,1,4,4,0,0,1,0
2013,,,,no,,not at all over the last 12 months,,41,35,1,1,2,2,1,1,1,1
2014,no,very good,good,,,,,42,35,1,1,2,2,2,2,1,1
2015,no,good,good,no,,not at all over the last 12 months,,43,36,1,1,2,2,2,2,1,1
2015,,,,,,,,43,37,1,1,2,2,2,2,0,1
2016,no,very good,very good,no,,not at all over the last 12 months,,45,37,1,1,2,2,2,2,0,1
2013,,,,yes,"no, I stopped",once or twice a month,yes,51,45,2,2,1,3,0,0,1,1
2014,no,very good,fairly good,,,,,53,47,2,2,1,3,0,0,1,1
2015,no,very good,good,yes,,,,54,48,2,2,1,3,0,0,1,1
2010,,,,,,,,52,51,3,2,1,1,0,0,1,0
2011,,,,,,,,53,52,3,2,1,1,0,0,1,0
2012,,,,,,,,54,53,3,2,1,1,0,0,1,0
2013,,,,,,,,55,54,3,2,1,1,0,0,1,0
2008,,,,,,,,47,49,3,3,1,1,2,1,1,1
2009,,,,,,,,48,50,3,3,1,1,2,1,1,1
2010,,,,,,,,49,51,3,3,4,4,2,1,0,1
2010,,,,yes,"no, I stopped",once or twice a month,yes,49,51,3,3,1,1,2,1,1,1
2011,no,fairly good,fairly good,yes,yes,once or twice a week,yes,51,53,3,3,4,4,2,1,0,1
2011,no,very good,good,,,,,51,53,3,3,1,1,2,1,1,1
2012,no,fairly good,fairly good,yes,yes,once or twice a week,yes,52,54,3,3,4,4,2,1,0,1
2012,,,,no,,once or twice a month,yes,51,53,3,3,4,4,2,2,0,0
2013,no,good,fairly good,yes,"no, I stopped",once or twice a week,yes,53,55,3,3,4,4,2,1,0,1
2013,no,good,fairly good,no,,once or twice a week,yes,53,55,3,3,4,4,2,2,0,0
2014,yes,good,fairly good,,,,,54,56,3,3,4,4,2,2,0,0
2014,,,,,,,,45,45,2,2,1,1,1,0,1,0
2015,no,fairly good,fairly good,,,,,47,47,2,2,1,1,1,0,1,0
2016,,,,no,,not at all over the last 12 months,,47,48,2,2,1,1,1,0,1,0
2016,,,,,,,,47,48,2,2,1,1,1,0,0,0
2009,,,,,,,,42,40,3,2,4,4,1,1,1,1
2010,yes,good,good,no,,once or twice a week,no,44,42,3,2,4,4,1,1,1,1
2011,,,,no,,once or twice a month,no,44,42,3,2,4,4,1,1,1,1
2012,yes,good,good,no,,once every two months,no,45,43,3,2,4,4,1,1,1,1
2014,,,,,,,,47,45,3,2,4,4,1,1,0,0
2015,,,,,,,,49,47,3,2,4,4,1,1,0,0
2016,,,,,,,,50,48,3,2,4,4,1,1,0,0
2008,yes,very good,very good,yes,"no, I stopped",once or twice a week,no,53,51,2,2,1,2,0,0,1,1
2009,yes,very good,very good,yes,yes,once or twice a week,no,54,52,2,2,1,2,0,0,1,1
2011,,,,no,,once or twice a week,yes,49,45,1,2,4,4,1,1,1,0
2012,no,very good,good,yes,"no, I stopped",once or twice a week,yes,51,47,,2,,1,1,1,1,0
2013,no,very good,good,yes,"no, I stopped",once or twice a week,yes,52,48,,2,,1,1,1,1,0
2014,,,,,,,,,48,,2,,1,1,0,0,1
2014,no,very good,good,,,,,53,49,,2,,1,1,1,1,0
2015,yes,very good,very good,yes,yes,once or twice a month,no,,50,,2,,1,1,0,0,1
2016,,,,,,,,,51,,2,,1,1,0,0,1
2015,,,,,,,,66,48,3,3,4,4,2,2,1,0
2016,,,,,,,,67,49,3,3,4,4,2,2,1,0
2016,,,,,,,,67,49,3,3,4,4,2,2,0,0
2011,,,,,,,,39,38,1,2,4,4,1,1,1,0
2012,,,,,,,,40,39,1,2,4,4,1,1,1,0
2013,,,,,,,,41,40,1,2,4,4,1,1,1,0
2016,,,,,,,,56,49,2,3,2,1,1,1,1,0
2010,,,,,,,,52,51,3,3,3,1,1,0,1,1
2011,,,,no,,once or twice a month,no,53,52,3,3,3,1,1,0,1,1
2012,yes,good,good,no,,once or twice a week,yes,55,54,3,3,3,1,1,0,1,1
2012,,,,,,,,54,53,3,3,3,1,1,1,0,0
2013,no,good,good,no,,once every two months,no,56,55,3,3,3,1,1,0,1,1
2013,no,fairly good,good,,,,,55,54,3,3,3,1,1,1,0,0
2014,,,,,,,,56,55,3,3,3,1,1,1,0,0
2014,,,,,,,,53,47,3,3,1,1,1,1,0,0
2015,,,,,,,,55,49,3,3,1,1,1,1,0,0
2008,yes,very good,very good,no,,once or twice a week,yes,49,48,3,2,1,1,1,1,1,1
2009,,,,,,,,49,48,3,2,1,1,1,1,0,0
2010,,,,no,,once or twice a month,no,50,49,3,2,1,1,1,1,0,0
2011,,,,,,,,51,50,3,2,1,1,1,1,0,0
2012,,,,,,,,52,51,3,2,1,1,1,1,0,0
2016,,,,,,,,56,54,1,3,4,4,0,0,1,0
2013,,,,no,,once or twice a year,no,41,41,2,2,1,1,1,0,1,1
2014,no,good,good,,,,,43,42,2,2,1,1,1,0,1,1
2015,no,good,good,no,,once or twice a month,no,44,43,2,2,1,1,1,0,1,1
2015,,,,,,,,44,43,2,2,1,1,1,1,0,0
2016,,,,,,,,45,44,2,2,1,1,1,1,0,0
2012,,,,no,,once or twice a week,yes,48,40,2,2,1,1,1,1,1,0
2013,no,very good,very good,no,,once or twice a week,yes,50,38,2,2,1,1,1,1,1,0
2014,,,,,,,,50,42,2,3,1,1,1,0,0,0
2014,,,,,,,,50,42,2,3,1,1,1,1,1,0
2015,,,,,,,,52,44,2,3,1,1,1,0,0,0
2016,,,,,,,,53,45,2,3,1,1,1,0,0,0
2016,,,,,,,,43,53,2,2,1,1,0,0,1,0
2013,,,,no,,once or twice a month,yes,43,39,1,2,1,1,2,2,1,0
2014,no,very good,very good,,,,,45,41,1,2,1,1,2,2,1,0
2015,no,very good,good,no,,once or twice a week,yes,46,42,1,2,1,1,2,2,1,0
2016,,,,,,,,46,43,2,2,1,1,2,1,0,0
2011,,,,no,,once or twice a month,no,58,44,2,2,4,4,1,0,1,1
2012,,,,no,,once or twice a week,yes,59,45,2,2,4,4,1,1,0,0
2012,yes,very good,very good,no,,once or twice a month,yes,59,46,2,2,4,4,1,0,1,1
2013,yes,very good,very good,no,,once or twice a week,yes,60,47,2,2,4,4,1,1,0,0
2013,no,very good,very good,no,,once or twice a month,yes,60,47,2,2,4,4,1,0,1,1
2014,,,,,,,,61,47,2,2,4,4,1,1,0,0
2014,,,,,,,,61,47,2,2,4,4,1,0,1,1
2014,,,,,,,,53,38,3,2,4,4,1,0,1,0
2015,no,very good,very good,no,,not at all over the last 12 months,,55,42,3,2,4,4,1,0,1,0
2016,no,good,good,no,,not at all over the last 12 months,,56,43,3,2,4,4,1,0,1,0
2014,,,,,,,,46,44,2,2,1,1,2,0,1,0
2015,no,very good,very good,yes,"no, I stopped",once or twice a week,yes,48,46,2,2,1,1,2,0,1,0
2016,no,very good,very good,no,,once or twice a month,no,49,47,2,2,1,1,2,0,1,0
2016,,,,,,,,49,47,2,2,1,1,2,0,0,0
2016,,,,,,,,49,47,2,2,1,1,2,0,0,0
2008,no,very good,very good,no,,once or twice a month,yes,42,45,1,2,1,1,1,1,1,1
2009,no,very good,very good,no,,not at all over the last 12 months,,43,46,1,2,1,1,1,1,1,1
2009,,,,no,,not at all over the last 12 months,,43,45,1,2,1,1,1,1,0,1
2010,no,very good,very good,no,,not at all over the last 12 months,,44,47,1,2,1,1,1,1,0,1
2011,no,very good,very good,no,,once or twice a year,no,45,48,1,2,1,1,1,1,0,1
2012,no,very good,very good,no,,once or twice a year,no,46,49,1,2,1,1,1,1,0,1
2009,,,,,,,,60,50,2,2,4,4,2,1,1,0
2012,,,,,,,,59,51,2,2,1,1,1,0,1,1
2013,no,very good,very good,no,,once every two months,no,60,52,2,2,1,1,1,0,1,1
2014,no,good,fairly good,,,,,61,53,2,2,1,1,1,0,1,1
2014,,,,,,,,61,53,2,2,1,1,1,1,0,0
2015,no,good,fairly good,no,,once or twice a week,yes,62,54,2,2,1,1,1,0,1,1
2015,no,good,fairly good,yes,"no, I stopped",once or twice a week,yes,62,54,2,2,1,1,1,1,0,0
2016,no,very good,good,yes,yes,once or twice a month,yes,63,55,2,2,1,1,1,1,0,0
2015,,,,,,,,46,43,2,2,4,4,1,0,1,0
2008,,,,,,,,47,44,2,1,4,4,2,0,1,0
2008,,,,,,,,47,44,2,1,4,4,2,0,0,0
2009,,,,,,,,48,45,2,1,4,4,2,0,1,0
2009,,,,,,,,48,45,2,1,4,4,2,0,0,0
2010,,,,,,,,49,46,2,1,4,4,2,0,0,0
2011,,,,,,,,50,47,2,1,4,4,2,0,0,0
2010,,,,no,,once or twice a week,yes,46,40,2,2,4,4,1,0,1,1
2011,yes,good,good,no,,once or twice a week,yes,48,41,2,2,4,4,1,0,1,1
2012,,,,yes,yes,once or twice a week,yes,48,42,2,2,4,4,1,1,0,0
2012,no,good,good,no,,once or twice a week,yes,49,42,2,2,4,4,1,0,0,1
2013,no,good,good,yes,"no, I stopped",once or twice a week,yes,49,43,2,2,4,4,0,0,0,0
2014,,,,,,,,50,44,2,2,4,4,0,0,0,0
2014,,,,,,,,48,43,2,3,4,4,3,1,1,0
2011,,,,,,,,44,46,1,2,1,1,1,1,1,0
2012,,,,,,,,45,47,1,2,1,1,1,1,1,0
2013,no,very good,very good,no,,once or twice a week,no,46,48,1,2,1,1,1,1,1,0
2014,yes,very good,very good,,,,,47,49,1,2,1,1,1,1,1,0
2014,,,,,,,,47,49,1,2,1,1,1,0,0,1
2015,no,very good,very good,yes,"no, I stopped",once or twice a month,yes,49,51,1,2,1,1,1,0,0,1
2016,no,very good,very good,yes,"no, I stopped",once or twice a month,yes,50,52,1,2,1,1,1,0,0,1
2009,,,,,,,,42,41,1,2,4,4,2,1,1,0
2010,,,,,,,,43,42,1,2,4,4,2,1,1,0
2011,,,,,,,,44,43,1,2,4,4,2,1,1,0
2011,,,,,,,,44,43,1,2,1,1,2,1,0,0
2012,,,,,,,,45,44,1,2,4,4,2,1,1,0
2012,no,very good,very good,,,,,46,45,1,2,1,1,2,1,0,0
2009,,,,,,,,44,40,1,1,1,1,1,0,1,0
